StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,Archetype
14,Male,Kochi,Tier3,Civil,DataScience,No,Yes,4.63,5.57,4.76,5.37,5.38,5.23,5.8,5.44,5.2,53.8,0,0,0,1,0,49.1,2.8,33.8,40.6,0,Low,Below-Average
15,Male,Mumbai,Tier2,IT,Networking,No,Yes,7.41,7.96,7.39,7.07,7.27,7.39,7.59,7.18,7.48,66.7,0,2,0,2,1,77.2,3.6,74.3,70.3,1,Mid,Average
16,Female,Hyderabad,Tier1,ECE,AI,Yes,No,8.37,8.27,8.3,8.63,8.49,8.53,8.0,8.34,8.38,80.2,1,3,3,4,1,82.6,4.3,82.5,86.8,1,High,High-Achiever
17,Female,Mumbai,Tier2,EE,DataScience,No,No,7.14,7.13,6.5,6.23,6.82,6.6,6.82,6.99,6.82,76.8,2,1,1,2,1,66.4,3.7,64.1,70.7,0,Mid,Average
18,Female,Ahmedabad,Tier1,CS,Networking,No,No,8.85,8.51,8.88,8.46,8.97,8.88,9.15,8.34,8.55,89.2,2,4,1,4,0,78.8,4.4,80.1,76.8,0,High,High-Achiever
19,Female,Pune,Tier3,ECE,DataScience,Yes,Yes,6.85,6.69,6.39,6.23,6.79,6.53,7.06,7.33,6.69,77.0,0,1,0,1,0,47.5,3.5,48.6,22.6,0,Mid,Below-Average
20,Male,Ahmedabad,Tier2,IT,Networking,No,No,5.49,6.19,6.27,5.99,6.56,6.95,6.55,6.63,6.2,69.7,2,2,2,2,0,75.4,3.5,74.2,60.8,1,Low,Average
21,Male,Mumbai,Tier3,ECE,DataScience,Yes,Yes,5.66,5.71,5.36,5.86,5.88,5.94,6.69,5.96,6.04,63.0,0,1,2,1,0,48.0,2.3,40.7,36.4,0,Low,Below-Average
22,Female,Chennai,Tier2,ECE,DataScience,No,No,5.84,5.43,6.08,6.36,5.41,6.67,5.53,6.28,5.86,77.5,1,2,2,1,0,61.8,3.4,75.6,61.0,1,Low,Average
23,Female,Kolkata,Tier2,ECE,Embedded,No,Yes,5.81,6.1,6.11,6.0,6.19,6.5,6.09,6.29,6.17,67.7,2,3,2,2,0,54.4,3.7,80.1,46.9,0,Low,Specialist
24,Female,Jaipur,Tier3,EE,AI,Yes,Yes,6.59,6.62,6.36,6.64,6.88,6.63,6.73,7.32,6.6,67.4,0,1,1,1,0,43.0,1.7,49.6,43.8,0,Mid,Below-Average
25,Male,Kochi,Tier3,CS,AI,No,Yes,5.65,6.25,5.62,5.59,6.15,5.6,5.75,5.22,5.84,67.8,0,1,1,1,0,35.4,1.7,46.9,33.6,0,Low,Below-Average
26,Male,Hyderabad,Tier1,Mechanical,Embedded,No,No,8.81,8.02,8.39,8.6,8.06,8.74,8.06,8.4,8.59,89.6,2,4,5,2,2,75.5,4.6,74.5,69.0,0,High,High-Achiever
27,Female,Mumbai,Tier2,CS,AI,No,No,6.73,6.57,6.53,6.9,6.96,6.92,6.82,6.39,6.66,73.0,2,2,1,1,0,77.0,4.3,61.9,71.8,1,Mid,Average
28,Male,Ahmedabad,Tier1,EE,DataScience,Yes,No,8.55,8.6,8.56,8.81,8.28,7.58,8.08,7.77,8.52,86.2,2,4,2,3,2,78.8,3.7,82.1,71.2,1,High,High-Achiever
29,Male,Pune,Tier1,IT,Embedded,Yes,No,8.11,8.72,8.68,8.16,7.74,7.76,7.96,8.6,8.37,81.2,1,4,2,4,2,84.2,4.2,76.0,78.0,0,High,High-Achiever
30,Female,Bangalore,Tier3,Civil,DataScience,No,Yes,5.06,4.62,4.93,5.03,4.43,5.2,4.93,4.74,4.95,51.9,2,1,1,1,0,25.7,2.6,45.6,53.5,1,Low,Below-Average
31,Female,Ahmedabad,Tier3,IT,AI,No,No,5.39,4.59,5.59,5.27,5.29,5.68,5.22,4.81,5.3,53.8,0,1,0,0,0,53.1,2.6,43.5,53.1,1,Low,Below-Average
32,Female,Kochi,Tier2,CS,AI,No,No,6.74,6.38,5.99,6.39,6.41,6.0,6.02,6.06,6.16,59.9,1,1,2,1,0,58.4,3.4,84.4,64.5,0,Low,Specialist
33,Female,Pune,Tier2,CS,Networking,No,Yes,7.18,6.47,6.02,6.95,6.57,7.21,6.96,6.76,6.54,78.5,0,1,2,1,0,61.1,2.9,59.4,64.4,0,Mid,Average
34,Male,Delhi,Tier2,ECE,Networking,Yes,No,6.42,6.65,7.2,6.01,5.94,7.03,7.16,6.63,6.52,84.6,0,0,2,1,0,66.4,2.9,59.2,67.8,1,Mid,Average
35,Male,Hyderabad,Tier2,Civil,Networking,No,No,6.59,6.66,6.5,5.87,5.92,5.2,6.01,6.09,6.18,67.7,1,4,2,3,1,61.0,3.3,56.7,73.0,0,Low,Average
36,Male,Pune,Tier1,IT,Embedded,No,No,8.85,9.06,8.68,8.26,8.23,8.66,8.3,8.5,8.7,89.4,3,2,4,4,0,67.3,4.1,83.0,81.0,0,High,High-Achiever
37,Female,Jaipur,Tier1,ECE,Networking,Yes,No,9.51,8.55,9.13,9.36,8.84,8.97,8.92,9.0,8.77,82.8,3,4,2,2,1,85.5,3.7,77.5,65.1,0,High,High-Achiever
38,Female,Jaipur,Tier2,Mechanical,DataScience,No,No,6.61,7.16,7.11,7.19,6.98,7.37,6.87,6.64,7.14,72.6,1,1,2,2,1,66.9,3.9,83.9,57.8,0,Mid,Average
39,Female,Chennai,Tier1,IT,DataScience,No,No,8.9,8.47,9.04,9.3,9.42,8.96,8.94,9.36,8.98,84.5,1,4,2,4,1,78.1,4.0,72.1,82.9,0,High,High-Achiever
40,Female,Mumbai,Tier3,Mechanical,AI,No,No,5.13,4.99,5.48,5.27,5.07,5.32,5.48,5.0,5.56,66.0,1,0,0,0,0,39.3,2.5,36.2,37.7,1,Low,Below-Average
41,Female,Chennai,Tier2,ECE,DataScience,Yes,No,7.34,6.61,7.57,7.3,6.75,7.6,7.82,7.61,7.24,69.6,2,2,3,2,1,53.2,3.6,55.4,75.0,1,Mid,Average
42,Female,Kochi,Tier3,Civil,Embedded,Yes,No,5.24,5.24,5.34,5.8,6.06,5.92,5.83,5.93,5.71,70.1,1,2,0,1,0,50.0,2.7,62.4,43.4,0,Low,Below-Average
43,Male,Hyderabad,Tier3,Mechanical,Embedded,No,No,5.49,5.21,5.67,5.44,5.87,5.6,5.31,4.72,5.44,57.5,1,1,1,1,0,62.5,3.3,28.8,44.9,0,Low,Below-Average
44,Female,Pune,Tier2,IT,Networking,Yes,No,6.79,6.87,6.23,6.41,6.56,6.72,7.54,6.6,6.68,69.8,1,2,2,0,1,66.6,3.0,63.8,71.0,0,Mid,Average
45,Female,Bangalore,Tier3,ECE,Networking,No,Yes,6.99,7.12,6.67,7.4,6.68,7.01,6.65,7.15,7.05,47.5,0,0,1,1,0,35.6,2.0,44.5,42.2,0,Mid,Below-Average
46,Female,Mumbai,Tier3,Civil,Networking,Yes,No,5.08,5.3,5.66,4.4,5.74,5.46,5.16,4.42,5.18,62.5,0,0,0,1,0,50.0,2.6,45.3,45.8,0,Low,Below-Average
47,Male,Chennai,Tier2,ECE,AI,No,No,6.96,6.38,6.8,6.75,7.03,6.39,6.68,6.51,6.6,82.2,2,3,2,3,0,64.6,3.5,71.1,69.2,1,Mid,Average
48,Female,Chennai,Tier1,EE,DataScience,Yes,No,8.7,9.38,8.51,9.23,8.13,9.1,8.85,8.8,8.72,89.4,4,3,2,2,1,85.2,3.7,90.5,67.7,0,High,High-Achiever
49,Female,Jaipur,Tier3,Civil,DataScience,No,No,5.83,5.63,5.55,5.44,5.13,5.69,5.95,5.2,5.68,82.4,0,1,0,0,0,53.5,2.0,37.5,41.1,1,Low,Below-Average
50,Female,Kochi,Tier1,CS,AI,Yes,No,8.19,8.51,7.73,7.83,8.01,7.87,7.14,7.85,7.8,95.1,2,4,2,3,1,62.1,4.3,83.4,83.8,1,Mid,High-Achiever
51,Female,Pune,Tier1,Civil,AI,No,No,8.66,9.08,9.11,9.34,9.58,8.44,9.29,8.86,9.06,86.5,2,2,3,3,1,83.3,3.9,69.0,78.5,0,High,High-Achiever
52,Female,Kolkata,Tier1,Mechanical,Embedded,No,No,8.48,8.57,7.9,8.68,8.77,8.1,8.39,8.65,8.45,86.4,2,4,3,3,1,74.0,3.6,82.7,88.3,1,High,High-Achiever
53,Male,Kolkata,Tier3,EE,Embedded,No,Yes,4.25,5.12,4.33,5.03,5.2,4.96,4.22,4.76,4.72,64.7,1,1,1,1,0,35.2,3.4,34.1,28.2,1,Low,Below-Average
54,Female,Delhi,Tier3,IT,Networking,Yes,Yes,6.69,6.09,6.2,6.47,6.0,6.16,5.66,6.16,6.33,51.6,1,1,0,0,0,46.3,2.4,40.1,27.1,0,Low,Below-Average
55,Male,Kochi,Tier3,CS,AI,No,Yes,6.09,5.36,5.95,6.11,5.96,6.21,5.39,5.64,5.94,71.7,0,1,0,1,0,51.7,3.5,25.1,51.7,0,Low,Below-Average
56,Male,Kochi,Tier3,Mechanical,Embedded,Yes,No,4.6,4.49,5.11,4.63,4.43,4.26,5.16,4.66,4.61,63.6,1,0,1,0,0,33.2,2.8,46.0,52.7,0,Low,Below-Average
57,Female,Kochi,Tier2,ECE,AI,No,No,8.05,8.13,8.18,7.53,8.28,8.09,8.23,8.24,8.07,77.1,1,2,1,2,0,70.6,3.6,44.7,60.5,0,High,Average
58,Female,Mumbai,Tier2,EE,Networking,No,Yes,7.47,8.47,6.68,7.78,7.32,7.28,8.32,7.75,7.4,80.5,0,3,1,3,0,71.1,3.4,61.3,65.2,1,Mid,Average
59,Male,Chennai,Tier1,CS,Networking,No,Yes,8.73,8.13,9.15,8.38,8.67,8.96,8.37,8.25,8.49,96.6,2,4,5,2,1,80.3,3.1,73.4,83.2,1,High,High-Achiever
60,Male,Bangalore,Tier1,EE,AI,No,No,9.48,9.1,8.84,9.08,9.38,9.68,9.58,8.81,9.3,88.9,2,4,3,3,2,74.8,3.7,76.1,72.3,1,High,High-Achiever
61,Female,Kolkata,Tier3,CS,Networking,Yes,No,5.33,5.29,5.96,5.81,6.51,5.6,5.37,5.2,5.61,58.9,1,2,1,0,0,39.2,2.7,53.5,36.9,1,Low,Below-Average
62,Female,Pune,Tier2,EE,AI,No,No,6.97,7.25,6.97,6.84,7.03,6.81,6.46,6.6,6.98,87.1,2,2,1,2,1,73.2,3.7,65.3,63.5,0,Mid,Average
63,Female,Ahmedabad,Tier2,Civil,DataScience,Yes,No,7.25,6.59,6.74,5.79,6.79,6.72,6.41,6.61,6.6,82.7,1,2,1,3,1,52.9,2.6,70.3,69.2,1,Mid,Average
64,Female,Delhi,Tier3,Civil,Embedded,No,No,6.48,5.84,5.79,5.71,6.15,6.43,5.47,6.1,5.91,56.8,0,1,1,1,0,57.6,2.8,57.6,32.3,0,Low,Below-Average
65,Female,Hyderabad,Tier2,Civil,Embedded,Yes,No,6.97,7.27,7.37,6.65,7.03,6.91,7.26,7.49,7.29,75.0,1,3,1,2,0,63.7,2.9,53.0,60.4,0,Mid,Average
66,Male,Mumbai,Tier2,EE,AI,Yes,No,6.76,7.36,7.03,7.1,6.75,7.42,7.48,6.84,7.01,76.6,1,2,2,3,1,64.2,3.6,73.5,60.0,1,Mid,Average
67,Male,Mumbai,Tier2,Mechanical,DataScience,No,No,6.55,6.51,7.1,6.45,5.98,6.75,6.66,6.36,6.53,77.9,2,1,2,2,1,51.3,3.5,46.8,65.3,1,Mid,Average
68,Female,Kolkata,Tier2,CS,AI,No,No,7.18,7.44,7.05,6.99,7.25,7.17,7.08,6.9,7.08,64.1,1,1,4,2,1,63.8,3.9,66.7,61.9,0,Mid,Average
69,Male,Delhi,Tier1,Mechanical,Embedded,Yes,No,8.41,8.83,8.31,8.3,8.42,8.91,7.94,8.31,8.47,80.3,2,4,2,4,1,83.7,4.6,78.5,74.2,1,High,High-Achiever
70,Female,Hyderabad,Tier2,Civil,Networking,No,Yes,5.9,5.69,6.69,5.95,5.94,6.07,5.58,5.83,6.2,67.9,2,1,2,0,1,54.3,3.7,51.6,72.0,1,Low,Average
71,Female,Hyderabad,Tier1,CS,AI,No,Yes,7.59,7.61,7.34,7.75,7.82,7.85,8.14,8.32,7.76,83.2,2,4,2,3,1,83.0,4.5,86.3,74.2,1,Mid,High-Achiever
72,Female,Kolkata,Tier2,IT,Embedded,No,No,7.79,6.86,7.39,7.05,7.49,7.41,7.0,6.99,7.34,69.8,3,4,2,1,0,65.7,3.3,68.5,59.7,1,Mid,Average
73,Male,Chennai,Tier3,Civil,DataScience,No,No,4.09,4.15,4.0,4.0,4.33,4.0,4.0,4.33,4.0,66.3,1,2,1,0,0,42.2,4.5,51.2,28.1,0,Low,Below-Average
74,Female,Hyderabad,Tier1,ECE,AI,Yes,No,8.5,8.36,9.04,9.18,9.14,8.8,8.58,8.63,8.6,87.2,1,5,2,4,0,85.1,3.7,83.5,73.0,0,High,High-Achiever
75,Female,Jaipur,Tier1,Mechanical,AI,Yes,No,7.68,8.51,8.36,8.94,8.73,8.1,8.32,7.72,8.26,89.0,2,3,2,3,1,66.8,4.0,82.9,81.6,1,High,High-Achiever
76,Female,Ahmedabad,Tier1,Mechanical,DataScience,No,No,9.75,9.22,8.43,9.67,8.95,8.67,9.43,8.9,9.15,81.9,3,4,4,5,0,82.1,4.6,85.7,80.2,0,High,High-Achiever
77,Female,Bangalore,Tier1,Civil,DataScience,No,No,8.5,8.53,7.89,8.0,7.87,8.57,8.43,8.17,8.25,85.7,2,4,4,2,2,89.7,4.5,84.1,82.2,0,High,High-Achiever
78,Male,Chennai,Tier3,CS,Networking,No,Yes,5.83,6.3,6.57,5.92,5.67,5.96,6.1,6.41,5.96,65.9,0,1,0,0,0,61.0,3.1,47.4,49.5,1,Low,Below-Average
79,Female,Jaipur,Tier2,ECE,DataScience,Yes,No,6.32,6.73,6.96,6.52,6.73,7.21,6.22,7.0,6.76,79.8,0,4,1,2,0,68.1,3.8,61.8,78.7,1,Mid,Average
80,Female,Kolkata,Tier3,IT,AI,Yes,No,5.11,5.47,6.23,5.36,5.34,5.22,5.5,5.45,5.58,52.8,1,1,2,1,0,45.3,1.5,50.4,36.5,0,Low,Below-Average
81,Female,Kochi,Tier3,Mechanical,Networking,Yes,No,6.05,5.92,6.41,6.24,6.32,5.79,6.18,5.96,6.02,61.6,0,1,1,1,0,42.3,3.8,25.7,27.8,1,Low,Below-Average
82,Female,Chennai,Tier2,Civil,Networking,No,No,6.19,6.85,6.46,7.31,7.58,6.78,7.39,7.0,6.72,92.6,0,1,2,2,1,62.6,3.4,58.8,53.6,1,Mid,Average
83,Male,Mumbai,Tier3,Civil,AI,Yes,No,6.24,5.36,6.25,6.23,6.14,5.85,5.88,6.15,6.2,59.8,1,2,1,1,0,52.9,3.5,28.2,37.0,0,Low,Below-Average
84,Female,Mumbai,Tier1,CS,Embedded,Yes,No,7.65,8.47,8.33,8.16,8.15,7.75,8.43,7.46,8.0,84.5,2,3,2,3,0,75.2,3.4,83.9,71.2,0,High,High-Achiever
85,Male,Hyderabad,Tier1,Mechanical,AI,No,No,8.22,8.22,9.1,8.9,8.77,8.35,8.37,8.73,8.65,87.1,2,4,2,3,3,84.5,4.3,93.5,78.7,0,High,High-Achiever
86,Female,Chennai,Tier1,EE,AI,No,No,8.84,8.53,8.91,8.59,8.23,9.31,8.78,8.81,8.96,88.5,2,2,2,4,1,92.8,4.0,78.7,86.8,1,High,High-Achiever
87,Male,Ahmedabad,Tier3,Mechanical,Networking,No,Yes,5.94,5.99,6.73,5.62,6.27,6.37,6.78,5.76,5.96,58.5,0,1,1,2,0,47.4,3.1,43.3,59.4,1,Low,Below-Average
88,Female,Ahmedabad,Tier2,IT,AI,Yes,No,8.33,8.19,8.6,8.65,8.35,8.64,7.63,7.35,8.15,74.7,2,1,2,2,0,54.2,3.7,66.8,66.0,1,High,Average
89,Male,Delhi,Tier1,CS,AI,Yes,No,7.23,8.36,8.47,8.04,8.57,8.47,8.28,7.66,8.12,80.8,2,4,3,3,1,71.9,4.3,67.5,93.0,0,High,High-Achiever
90,Female,Mumbai,Tier2,ECE,Embedded,No,No,6.1,6.6,6.01,6.21,6.44,6.9,6.04,6.21,6.17,67.3,1,2,1,1,1,71.2,3.0,55.3,59.1,1,Low,Average
91,Male,Hyderabad,Tier1,ECE,DataScience,Yes,No,7.56,7.63,8.11,8.11,7.92,8.73,8.42,7.58,8.0,87.3,2,3,3,4,1,79.6,4.2,84.6,66.6,1,High,High-Achiever
92,Male,Jaipur,Tier3,Mechanical,Networking,No,Yes,5.65,6.17,5.63,5.56,6.1,5.84,5.72,5.84,5.96,58.3,0,1,1,1,0,55.9,2.7,13.0,54.5,0,Low,Below-Average
93,Male,Bangalore,Tier2,IT,Embedded,No,No,7.21,7.25,6.85,6.97,7.8,7.29,6.39,6.98,7.3,70.5,1,1,2,0,0,60.7,3.7,51.2,47.3,1,Mid,Average
94,Male,Chennai,Tier2,Civil,AI,No,No,7.18,7.19,7.75,6.46,7.03,7.34,6.5,7.15,7.06,73.6,0,3,2,0,0,71.6,4.0,69.9,56.0,1,Mid,Average
95,Female,Mumbai,Tier2,CS,AI,No,No,7.11,6.34,6.24,5.73,5.94,6.06,6.34,5.67,6.33,75.5,1,1,3,1,0,63.7,3.6,69.0,66.2,1,Low,Average
96,Male,Ahmedabad,Tier2,EE,AI,No,No,7.8,7.17,6.97,7.69,7.74,7.6,7.66,7.64,7.46,82.1,1,2,2,2,0,59.1,2.9,63.4,61.2,1,Mid,Average
97,Male,Pune,Tier2,EE,AI,No,No,6.88,6.25,6.43,6.5,6.19,6.14,6.13,5.88,6.27,74.2,1,2,1,2,1,61.8,3.6,67.9,60.5,0,Low,Average
98,Male,Chennai,Tier1,ECE,Networking,Yes,No,8.79,8.63,8.8,9.08,9.47,9.05,9.46,8.82,9.08,90.0,1,5,4,3,2,72.8,5.0,83.5,69.7,0,High,High-Achiever
99,Male,Pune,Tier1,CS,Embedded,Yes,No,9.6,10.0,9.51,9.59,10.0,10.0,10.0,10.0,9.93,85.3,2,3,4,3,1,91.9,4.9,85.9,77.9,0,High,High-Achiever
100,Male,Kolkata,Tier2,CS,AI,Yes,Yes,6.54,6.11,6.67,6.3,6.05,7.13,6.31,5.82,6.29,75.1,1,2,1,3,0,59.0,1.1,82.5,67.0,1,Low,Specialist
101,Male,Ahmedabad,Tier2,IT,AI,No,Yes,6.63,5.79,6.26,6.33,5.95,6.51,6.31,6.95,6.47,73.4,1,3,0,3,0,66.4,3.2,85.9,55.2,1,Low,Specialist
102,Female,Kochi,Tier3,ECE,Embedded,No,No,4.75,5.54,5.36,5.62,4.68,5.51,5.05,5.09,5.15,68.7,1,0,1,1,0,43.2,3.4,35.7,35.7,1,Low,Below-Average
103,Female,Bangalore,Tier1,IT,DataScience,No,No,7.47,7.78,7.25,7.94,7.95,7.28,8.02,7.32,7.59,91.6,3,3,1,4,0,73.7,4.1,90.8,69.3,0,Mid,High-Achiever
104,Female,Kolkata,Tier2,Mechanical,DataScience,No,Yes,5.36,5.48,5.47,4.75,5.51,5.75,5.21,5.09,5.52,75.3,1,2,0,1,0,57.7,2.9,97.2,45.3,0,Low,Specialist
105,Male,Pune,Tier3,Civil,DataScience,No,No,5.18,4.5,4.36,5.01,4.48,5.32,5.31,4.66,4.73,59.0,1,1,1,1,0,57.9,2.6,55.8,47.9,1,Low,Below-Average
106,Female,Mumbai,Tier3,Mechanical,DataScience,Yes,Yes,4.41,4.23,4.44,4.29,4.24,4.31,4.62,4.25,4.49,62.4,0,0,1,1,0,43.3,3.1,37.9,47.4,1,Low,Below-Average
107,Female,Jaipur,Tier2,Mechanical,Embedded,No,No,7.72,7.75,7.53,7.3,7.81,7.91,7.97,8.39,8.03,83.5,1,3,1,2,0,58.0,2.9,51.4,55.6,0,High,Average
108,Female,Delhi,Tier1,ECE,DataScience,Yes,No,8.53,8.15,8.88,9.39,8.52,8.51,8.78,8.32,8.64,84.7,3,4,3,2,1,80.9,4.7,90.9,62.5,0,High,High-Achiever
109,Female,Delhi,Tier1,Civil,Embedded,No,No,8.49,9.06,9.05,8.22,9.41,9.14,8.57,8.79,8.69,84.9,2,4,3,3,2,83.0,4.2,85.8,80.9,1,High,High-Achiever
110,Male,Kolkata,Tier2,IT,Embedded,No,No,5.57,5.85,5.66,5.81,5.31,5.32,4.96,5.33,5.75,71.6,1,2,1,2,1,76.4,2.5,87.6,44.2,0,Low,Specialist
111,Male,Jaipur,Tier2,EE,AI,Yes,Yes,6.38,7.45,6.84,6.68,6.79,6.71,6.96,7.21,6.9,78.3,2,2,3,2,0,67.8,4.1,54.3,67.5,1,Mid,Average
112,Female,Hyderabad,Tier1,EE,DataScience,No,No,9.27,9.07,9.37,8.28,8.86,9.01,8.41,9.75,8.98,83.9,2,4,3,4,1,83.9,3.6,85.0,72.7,0,High,High-Achiever
113,Male,Hyderabad,Tier2,ECE,DataScience,Yes,No,7.1,6.88,7.39,6.77,7.01,6.75,7.07,7.24,6.98,74.4,1,2,2,2,0,70.8,3.2,50.2,54.1,0,Mid,Average
114,Female,Chennai,Tier2,Mechanical,Networking,No,No,7.46,6.82,7.08,7.56,7.4,7.96,7.82,7.51,7.32,74.2,0,2,0,2,1,55.8,3.2,65.7,63.2,0,Mid,Average
115,Male,Pune,Tier1,ECE,AI,No,No,8.12,8.51,7.51,8.53,8.69,8.86,8.56,8.51,8.4,76.9,1,3,1,4,1,74.2,5.0,91.7,94.5,1,High,High-Achiever
116,Female,Chennai,Tier3,EE,Embedded,No,No,5.57,5.07,4.55,5.43,5.18,5.42,5.1,5.75,5.26,57.8,1,1,1,1,0,38.2,2.4,58.3,51.5,0,Low,Below-Average
117,Male,Kolkata,Tier3,ECE,AI,No,Yes,5.14,4.57,4.88,4.32,4.08,4.92,4.62,4.57,4.52,58.4,1,2,2,1,0,36.0,1.5,49.1,45.4,0,Low,Below-Average
118,Male,Kolkata,Tier3,EE,DataScience,Yes,No,4.31,4.12,4.6,4.04,4.0,4.0,4.0,4.1,4.12,58.4,0,2,0,1,0,55.2,2.5,28.2,47.6,0,Low,Below-Average
119,Male,Kochi,Tier2,ECE,Networking,No,No,6.75,6.76,7.13,6.49,6.74,6.79,6.96,7.2,6.84,86.3,1,3,2,2,0,67.3,3.7,61.8,48.0,0,Mid,Average
120,Female,Kolkata,Tier2,Mechanical,Embedded,Yes,No,6.7,7.35,7.0,7.52,7.08,7.2,6.84,7.48,7.03,65.3,0,2,1,2,1,65.6,3.9,79.3,53.0,1,Mid,Average
121,Female,Bangalore,Tier2,EE,Networking,No,No,5.79,5.89,6.35,5.52,5.98,5.83,6.22,6.42,6.23,68.4,1,2,1,3,0,44.3,4.6,52.2,41.9,1,Low,Average
122,Female,Kolkata,Tier2,CS,Networking,No,No,7.1,6.86,7.6,7.03,6.83,7.03,6.98,6.87,6.98,54.1,0,2,2,2,0,81.4,4.2,59.5,75.8,1,Mid,Average
123,Female,Mumbai,Tier1,ECE,Networking,No,No,8.53,8.18,8.81,8.25,8.1,7.82,8.47,8.94,8.53,85.6,1,2,2,4,0,74.6,4.3,91.9,88.7,1,High,High-Achiever
124,Female,Jaipur,Tier2,EE,DataScience,No,Yes,5.22,6.06,5.46,6.53,5.43,5.71,6.08,5.83,5.71,71.8,0,1,1,4,0,81.4,3.1,65.6,65.1,0,Low,Average
125,Female,Ahmedabad,Tier1,CS,Networking,Yes,No,7.64,7.85,7.45,8.29,8.46,7.92,7.63,7.85,8.04,85.5,1,3,1,4,0,71.3,4.8,99.4,78.9,1,High,High-Achiever
126,Male,Chennai,Tier2,CS,Embedded,No,No,6.88,7.34,7.01,6.76,6.81,6.74,6.82,7.51,7.24,83.9,2,2,0,1,0,58.5,3.3,53.4,49.6,1,Mid,Average
127,Male,Kochi,Tier2,EE,Embedded,No,Yes,7.23,7.43,7.52,7.74,7.79,7.54,7.52,7.18,7.23,81.9,0,3,2,2,2,47.4,3.2,51.1,60.2,0,Mid,Average
128,Female,Hyderabad,Tier1,CS,Embedded,No,No,8.05,8.1,7.83,8.29,7.97,8.08,8.05,7.64,7.92,88.4,3,5,3,3,1,82.2,4.0,90.6,90.5,1,Mid,High-Achiever
